state,state_fips,year,employment_rate,dis_type_hearing_18_64_prevalence,dis_type_vision_18_64_prevalence,dis_type_cognitive_18_64_prevalence,dis_type_ambulatory_18_64_prevalence,dis_type_self_care_18_64_prevalence,dis_type_indep_living_18_64_prevalence
Louisiana,22,2018,0.044163793381297674,0.02481243823236184,0.033066713213829285,0.0578929127961361,0.063182703286826,0.023911794092542182,0.04730681328057183
Maine,23,2018,0.052514728789676106,0.026760706387552284,0.019910797645374827,0.07014222352099178,0.05385202116884307,0.019665627375860882,0.05388916817937549
Maryland,24,2018,0.04038633345014515,0.016554289373153185,0.015589780696631061,0.041461975590656786,0.04040580208617251,0.013118075114324158,0.03166276212355229
Massachusetts,25,2018,0.03363997159477722,0.014331663525557595,0.01437017286567713,0.043191663277997554,0.036719801915289535,0.015349181149311256,0.03290737724345559
Michigan,26,2018,0.042889341619179594,0.02090665855279912,0.019649064204284254,0.05585504840208624,0.05727602252921158,0.022101083796628555,0.04519749440242358
Minnesota,27,2018,0.04295038703064434,0.018969803362512812,0.013275386736100474,0.04137133734698446,0.0329933315267976,0.013813223841558963,0.030511799427406717
Mississippi,28,2018,0.042665338586392265,0.024979001820032206,0.03445866862991577,0.06352505023038166,0.08001759630386446,0.02702354645298858,0.0567321247650882
Missouri,29,2018,0.04443087728005683,0.024806864643560883,0.021279889930278562,0.055780170210569836,0.060226771736546406,0.021667780284409004,0.04632695560700585
Montana,30,2018,0.05091814473601834,0.026378100012681777,0.017677436546960305,0.04705261011877529,0.04568490434888697,0.017608409143080966,0.03532758319006134
Nebraska,31,2018,0.047286348785420464,0.02062678193285386,0.017922916471980126,0.040921200879483595,0.038874126996161516,0.01188924995283443,0.027409807970011513
Nevada,32,2018,0.0425243469960623,0.02231835151430814,0.020952332288932906,0.038262671418289984,0.04799875193786651,0.016315042192762544,0.03328618673531733
New Hampshire,33,2018,0.04704865632769031,0.021393394104415767,0.015998579377293713,0.05074345921628981,0.043980111282111996,0.016169054102048063,0.03806085000591926
New Jersey,34,2018,0.028688685363751385,0.011828936229808648,0.01395993754195552,0.03351748850909099,0.035463894696822214,0.016064175310741235,0.030334459968521674
New Mexico,35,2018,0.043509380191609374,0.029374248960857316,0.027186796157306174,0.05534624956497186,0.06179779892178686,0.021940192660008274,0.046030080964482
New York,36,2018,0.029740125405985782,0.013756999872135656,0.015618246365655918,0.03709533428694358,0.04276217322560192,0.016229291190476405,0.03395668094498923
North Carolina,37,2018,0.038402190949897656,0.021596084952505597,0.022293254900779467,0.04495199926421411,0.05453708460223819,0.019915410259918928,0.03915303865792141
North Dakota,38,2018,0.04704677884877199,0.019720089310025595,0.015927680662201165,0.0369373196100855,0.029491913086097044,0.010307683929641126,0.023717257528726242
Ohio,39,2018,0.04617947121737739,0.022424940650447953,0.020959963919699624,0.05522082546254662,0.0556709723386744,0.019475278981811183,0.04225125422030548
Oklahoma,40,2018,0.05600692357788722,0.03094971127188658,0.029428674747064808,0.0573653635528777,0.07106726640946061,0.022426183334330593,0.0473585214900608
Oregon,41,2018,0.04787787427316611,0.027596862530579042,0.01904511493566009,0.05587750436619536,0.04812199719983558,0.01779863816240875,0.04251461504792529
Pennsylvania,42,2018,0.043202269331666834,0.02105659984886857,0.020191231705594833,0.053417322328170994,0.05142410962592053,0.019431295047482425,0.04371684760118732
Rhode Island,44,2018,0.04602821980823337,0.022237861299174367,0.021126345787039064,0.06541178176238638,0.050049912483255535,0.02238586200595325,0.045813769804533354
South Carolina,45,2018,0.0406892681938724,0.02116851760506344,0.026426138361206896,0.048768448820602606,0.06174236893283969,0.02055185227439412,0.04211019283929814
South Dakota,46,2018,0.05677865183699089,0.021636387456565907,0.023476409200499797,0.04082853773999965,0.04456919830976111,0.015324389380669408,0.033552532523019825
Tennessee,47,2018,0.04526263080119443,0.025936314341577366,0.02631878578783119,0.059489001497319394,0.06888158933781265,0.021346412126450644,0.05007168278866249
Texas,48,2018,0.03803885562423799,0.020416389354440206,0.021923506810634485,0.03825241968134374,0.04332495533206529,0.01734378910967492,0.0323578671508144
Utah,49,2018,0.03881950752045276,0.01728394663379813,0.012439171424591926,0.0394739743236056,0.033380495813724875,0.010496744067987108,0.027821561266320665
Vermont,50,2018,0.048821045016537376,0.02667839419591393,0.01783590653714339,0.054501783850879955,0.04898238528576745,0.016966750893226572,0.03667888862577125
Virginia,51,2018,0.03788503794221674,0.017440505849546633,0.017776382666966954,0.039588149285673446,0.04364920535084638,0.015990031440559528,0.034274410776375275
Washington,53,2018,0.04222864906647588,0.022608702798777247,0.0178021230790659,0.045308458966074945,0.04435834626320004,0.016479578308275993,0.03548118352941889
West Virginia,54,2018,0.04689268566686519,0.03615344302151518,0.03702187836071774,0.06870236189949296,0.08620373323698688,0.027567882382053214,0.05565607326094177
Wisconsin,55,2018,0.038501358041684225,0.01873986384531405,0.014275467449318157,0.041383011070939335,0.039399879798136105,0.017136887353071176,0.03211509969658861
Wyoming,56,2018,0.05075781171948919,0.03040062058873655,0.017506949300956153,0.04049694113222184,0.040426419684886666,0.012397082762795235,0.02968952932810691
Puerto Rico,72,2018,0.03958687529640809,0.02099543252336332,0.0497825345054082,0.07842263365699928,0.08370330777146306,0.03338522585192815,0.06593310695936333
Alabama,1,2019,0.0456865291621163,0.02731975645514743,0.027899723551313486,0.05815719932373908,0.06994423843673382,0.022220592069259918,0.04785830618612053
Alaska,2,2019,0.046179360195807075,0.03482666727665756,0.01724291743392083,0.04369059737170176,0.042928871249985706,0.015643978818066406,0.029986389578305673
Arizona,4,2019,0.042070013308018024,0.02005769169899975,0.020613019181592324,0.047110005862708686,0.04772178730886554,0.016406608373421946,0.037564561839293756
Arkansas,5,2019,0.05161776584489016,0.03110388059022287,0.03130411039943572,0.06854230423554307,0.07970227192573294,0.02738768359139467,0.05557002923810282
California,6,2019,0.029840899423305988,0.01463167819257617,0.014594558921961225,0.03434045228990421,0.03416506886321967,0.014870184887190436,0.029790655106727747
Colorado,8,2019,0.03981964920060508,0.019696337999693385,0.015479942731416544,0.03803915140402695,0.032436280044155004,0.011089295483047991,0.028672269724193185
Connecticut,9,2019,0.039308750599022835,0.01516101550206835,0.014689600596360512,0.046872504071519196,0.0387065146143211,0.014876422277590395,0.03410253067639547
