state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Rhode Island,44,2013,0.2215120734351817,0.16399999999999998,0.23299999999999998,0.325,0.278
South Carolina,45,2013,0.210074294205052,0.138,0.265,0.336,0.261
South Dakota,46,2013,0.32922356224459287,0.154,0.314,0.36700000000000005,0.165
Tennessee,47,2013,0.21209872986406178,0.118,0.238,0.36600000000000005,0.27799999999999997
Texas,48,2013,0.26204574829420785,0.151,0.27,0.3,0.27899999999999997
Utah,49,2013,0.28659654234577336,0.204,0.371,0.292,0.133
Vermont,50,2013,0.2419119104240983,0.179,0.242,0.39,0.189
Virginia,51,2013,0.24191170501034825,0.185,0.251,0.323,0.241
Washington,53,2013,0.24148897662921562,0.176,0.35400000000000004,0.305,0.166
West Virginia,54,2013,0.17316952922561857,0.094,0.201,0.43399999999999994,0.27
Wisconsin,55,2013,0.26386924406726386,0.147,0.275,0.394,0.184
Puerto Rico,72,2013,0.13825289258801615,0.127,0.165,0.262,0.44700000000000006
Alabama,1,2014,0.18582226016532483,0.115,0.264,0.34800000000000003,0.273
Alaska,2,2014,0.3009934132383112,0.17,0.35700000000000004,0.324,0.149
Arizona,4,2014,0.2037126837399606,0.179,0.334,0.28900000000000003,0.19899999999999995
Arkansas,5,2014,0.20240706140626252,0.10600000000000001,0.26,0.387,0.247
California,6,2014,0.20760909808257708,0.18799999999999997,0.297,0.25,0.265
Colorado,8,2014,0.28214723285433424,0.22199999999999998,0.326,0.287,0.16399999999999998
Connecticut,9,2014,0.25620855846886925,0.196,0.23299999999999998,0.36100000000000004,0.21
Delaware,10,2014,0.23671994872492086,0.17,0.241,0.39399999999999996,0.19499999999999998
District of Columbia,11,2014,0.22198996655518394,0.203,0.267,0.315,0.215
Florida,12,2014,0.17941650905313775,0.17,0.275,0.342,0.21300000000000002
Georgia,13,2014,0.20243895887148977,0.14300000000000002,0.257,0.34,0.26
Hawaii,15,2014,0.23724262595742154,0.19299999999999998,0.265,0.36400000000000005,0.178
Idaho,16,2014,0.24897424056646336,0.147,0.35600000000000004,0.342,0.154
Illinois,17,2014,0.2216407270953315,0.166,0.27699999999999997,0.34199999999999997,0.215
